,crime,number,date,location,beat,neighborhood,npu,lat,long
67,LARCENY-FROM VEHICLE,103041703,10/31/2010,895 RALPH D ABERNATHY BLVD SW,401,West End,T,33.7398,-84.41751
68,LARCENY-NON VEHICLE,103041704,10/31/2010,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278
69,AUTO THEFT,103041722,10/31/2010,260 HOLLY RD NW,106,Knight Park/Howell Station,K,33.78633,-84.42786
70,LARCENY-NON VEHICLE,103041741,10/31/2010,3393 PEACHTREE RD NE,210,Lenox,B,33.84676,-84.36212
71,LARCENY-NON VEHICLE,103041747,10/31/2010,1195 WOODLAND AVE NE,213,Lindridge/Martin Manor,F,33.81477,-84.34908
72,LARCENY-NON VEHICLE,103041750,10/31/2010,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278
73,LARCENY-FROM VEHICLE,103041776,10/31/2010,PRATT ST SE / ARMSTRONG ST SE,510,Downtown,M,33.75187,-84.38083
74,LARCENY-NON VEHICLE,103041793,10/31/2010,1111 ARLINGTON AVE,402,Oakland City,S,33.72418,-84.42425
75,AUTO THEFT,103041794,10/31/2010,2715 PEACHTREE RD NE,206,Garden Hills,B,33.82924,-84.38579
76,LARCENY-FROM VEHICLE,103041832,10/31/2010,1117 SAINT CHARLES PL NE,601,Atkins Park,F,33.77518,-84.35081
77,LARCENY-FROM VEHICLE,103041860,10/31/2010,480 JOHN WESLEY DOBBS AVE NE,604,Old Fourth Ward,M,33.75961,-84.37127
78,BURGLARY-RESIDENCE,103041864,10/31/2010,765 MCDANIEL ST SW,302,Pittsburgh,V,33.73396,-84.40177
79,LARCENY-NON VEHICLE,103041887,10/31/2010,2178 CAMPBELLTON RD SW,410,Campbellton Road,R,33.70514,-84.45947
80,AGG ASSAULT,103041966,10/31/2010,1655 ROGERS AVE SW,404,Westview,T,33.73751,-84.44186
81,AGG ASSAULT,103041975,10/31/2010,608 MCDANIEL STREET,303,Mechanicsville,V,33.73849,-84.40166
82,AUTO THEFT,103041987,10/31/2010,901 BOLTON ROAD NW,114,Bankhead/Bolton,H,33.77948,-84.49901
83,LARCENY-FROM VEHICLE,103042095,10/31/2010,829 BECKWITH ST SW,101,Atlanta University Center,T,33.75233,-84.41473
84,BURGLARY-RESIDENCE,103042108,10/31/2010,208 ADAIR AVE SE,307,Lakewood Heights,Y,33.7064,-84.38124
85,BURGLARY-RESIDENCE,103042121,10/31/2010,1371 KIMBERLY WAY SW,412,Ashley Courts,P,33.71771,-84.52315
86,LARCENY-NON VEHICLE,103042132,10/31/2010,590 CASADE,402,West End,T,33.73812,-84.43276
87,LARCENY-NON VEHICLE,103042148,10/31/2010,1565 WELLSWOOD DR SE,607,Custer/McDonough/Guice,W,33.71184,-84.35625
88,LARCENY-FROM VEHICLE,103042152,10/31/2010,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80448,-84.41348
89,AGG ASSAULT,103042163,10/31/2010,1048 FERN AVE SE,304,Peoplestown,V,33.72592,-84.38498
90,LARCENY-NON VEHICLE,103048029,10/31/2010,CONCOURSE C @10700 SPINE RD,50,,,33.64063,-84.43256
91,AUTO THEFT,103032437,10/31/2010,252 W LAKE DR NW,105,West Lake,J,33.76186,-84.43977
92,HOMICIDE,103041842081,10/31/2010,912 JOSEPH E BOONE DR NW,102,Vine City,L,33.76326,-84.41711
93,HOMICIDE,103041495080,10/31/2010,499 FEDERAL TER SE,305,Chosewood Park,Y,33.71465,-84.37172
94,HOMICIDE,103032454079,10/31/2010,1045 DONALD LEE HOLLOWELL PKWY NW,106,Bankhead,K,33.7733,-84.42174
95,HOMICIDE,103040581078,10/31/2010,1025 OAK ST SW,401,West End,T,33.74094,-84.42141
96,LARCENY-FROM VEHICLE,103032441,10/30/2010,3760 PRINCETON LAKES PKWY SW,414,Princeton Lakes,P,33.65781,-84.5092
97,LARCENY-NON VEHICLE,103032507,10/30/2010,80 JESSE HILL JR DR SE,510,Downtown,M,33.75168,-84.38198
98,AGG ASSAULT,103032617,10/30/2010,3380 COLLIER DR NW,114,Fairburn Heights,H,33.76826,-84.49851
99,LARCENY-FROM VEHICLE,103032630,10/30/2010,61 NORTH AVE NW @VARSITY DRIVE INN,505,Midtown,E,33.77138,-84.38943
100,LARCENY-FROM VEHICLE,103031107,10/30/2010,370 NORTHSIDE DR NW,103,English Avenue,L,33.76527,-84.40498
101,LARCENY-FROM VEHICLE,103031141,10/30/2010,1351 ORMEWOOD AVE SE,612,East Atlanta,W,33.73384,-84.34341
102,BURGLARY-RESIDENCE,103031154,10/30/2010,1971 PINE OAK DR SW,404,Westwood Terrace,I,33.7361,-84.45231
103,LARCENY-FROM VEHICLE,103031163,10/30/2010,122 MLK JR DR SW,512,Downtown,M,33.75177,-84.39182
104,BURGLARY-NONRES,103031165,10/30/2010,1935 KIMBERLY RD SW,412,Ben Hill Terrace,P,33.70142,-84.52277
105,BURGLARY-RESIDENCE,103031169,10/30/2010,300 PEACHTREE ST NE,508,Downtown,M,33.76293,-84.38714
106,LARCENY-NON VEHICLE,103031183,10/30/2010,560 DUTCH VALLEY RD NE,213,Morningside/Lenox Park,F,33.79216,-84.36886
107,AUTO THEFT,103031236,10/30/2010,2 13TH ST NE,503,Midtown,E,33.7858,-84.38757
108,LARCENY-FROM VEHICLE,103031257,10/30/2010,23 LARKIN PL SW,507,Castleberry Hill,M,33.74749,-84.40414
109,LARCENY-NON VEHICLE,103031276,10/30/2010,3070 DONALD LEE HOLLOWELL PKWY NW,112,Collier Heights,I,33.78388,-84.48854
110,AUTO THEFT,103031315,10/30/2010,2886 MEMORIAL DR SE,611,East Lake,O,33.74741,-84.29245
111,LARCENY-NON VEHICLE,103031357,10/30/2010,1241 MORELAND AVE SE,607,Woodland Hills,W,33.72055,-84.35045
112,LARCENY-FROM VEHICLE,103031367,10/30/2010,1401 EPWORTH ST SW,403,Venetian Hills,S,33.71691,-84.43098
113,LARCENY-FROM VEHICLE,103031368,10/30/2010,151 14TH ST NW,501,Home Park,E,33.7873,-84.39241
114,LARCENY-FROM VEHICLE,103031385,10/30/2010,BAKER ST NE / PEACHTREE ST NW,508,Downtown,M,33.76226,-84.38755
115,ROBBERY-PEDESTRIAN,103031508,10/30/2010,765 SPRINGLAKE LN NW,205,Springlake,C,33.81108,-84.41356
116,LARCENY-FROM VEHICLE,103031520,10/30/2010,MONROE DR NE / 10TH ST NE,502,Midtown,E,33.78174,-84.36869
117,LARCENY-FROM VEHICLE,103031540,10/30/2010,ARMSTRONG ST SE / PRATT ST SE,510,Downtown,M,33.75187,-84.38083
118,BURGLARY-RESIDENCE,103031563,10/30/2010,1759 CAHOON ST SW,306,Sylvan Hills,X,33.70799,-84.41137
119,LARCENY-NON VEHICLE,103031573,10/30/2010,412 MORELAND AVE NE,602,Inman Park,N,33.76582,-84.34917
120,LARCENY-NON VEHICLE,103031590,10/30/2010,1073 PIEDMONT AVE NE @PIEDMONT PARK,502,Midtown,E,33.78384,-84.37897
121,LARCENY-NON VEHICLE,103031631,10/30/2010,ONE BUCKHEAD LOOP,208,North Buckhead,B,33.84911,-84.37075
122,BURGLARY-RESIDENCE,103031646,10/30/2010,2403 SUNRIDGE AVE SE,310,Browns Mill Park,Z,33.68863,-84.38307
123,LARCENY-NON VEHICLE,103031659,10/30/2010,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212
124,LARCENY-NON VEHICLE,103031691,10/30/2010,1295 ELIZABETH AVE SW,403,Venetian Hills,S,33.71952,-84.43581
125,LARCENY-NON VEHICLE,103031711,10/30/2010,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212
126,BURGLARY-RESIDENCE,103031746,10/30/2010,898 CAPITOL VIEW AVE NW,109,Center Hill,J,33.77952,-84.46747
127,LARCENY-NON VEHICLE,103031773,10/30/2010,1117 LEE,402,Oakland City,S,33.72459,-84.42107
128,ROBBERY-PEDESTRIAN,103031790,10/30/2010,532 CLEVELAND AVE SW,311,Hammond Park,X,33.68011,-84.40674
129,LARCENY-FROM VEHICLE,103031804,10/30/2010,36 HARRIS ST,509,Downtown,M,33.76097,-84.38604
130,AUTO THEFT,103031808,10/30/2010,1306 EASTRIDGE RD SW,408,Venetian Hills,S,33.71946,-84.44495
131,LARCENY-NON VEHICLE,103031871,10/30/2010,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212
132,LARCENY-NON VEHICLE,103031922,10/30/2010,3616 BOLFAIR DR NW,114,Carroll Heights,H,33.77721,-84.50587
133,LARCENY-FROM VEHICLE,103031962,10/30/2010,1919 METROPOLITAN PKY,306,Sylvan Hills,X,33.70339,-84.40806
134,LARCENY-FROM VEHICLE,103032002,10/30/2010,2525 PIEDMONT RD,211,Lindbergh/Morosgo,B,33.824,-84.36521
135,ROBBERY-PEDESTRIAN,103032013,10/30/2010,864 HALL ST NW,109,Center Hill,J,33.77859,-84.46616
136,LARCENY-NON VEHICLE,103032044,10/30/2010,199 11TH ST NE,503,Midtown,E,33.78291,-84.3807
137,BURGLARY-RESIDENCE,103032084,10/30/2010,3481 MEADOWRIDGE DR SW,414,Brentwood,P,33.67361,-84.50241
138,LARCENY-NON VEHICLE,103032085,10/30/2010,610 SPRING ST NW,509,Downtown,M,33.77101,-84.38895
139,BURGLARY-RESIDENCE,103032196,10/30/2010,2327 LEILA LN SE,308,Leila Valley,Z,33.69054,-84.35532
140,LARCENY-FROM VEHICLE,103032227,10/30/2010,3833 PRINCETON LAKES PKWY,414,Princeton Lakes,P,33.65488,-84.51022
141,AUTO THEFT,103032241,10/30/2010,232 FORSYTH ST SW,512,Downtown,M,33.74852,-84.39636
142,LARCENY-NON VEHICLE,103032293,10/30/2010,231 18TH ST NW,501,Atlantic Station,E,33.79249,-84.3954
143,LARCENY-FROM VEHICLE,103032340,10/30/2010,BROAD ST NW / MARIETTA ST NW,508,Downtown,M,33.75492,-84.39054
144,LARCENY-FROM VEHICLE,103030033,10/30/2010,840 MARIETTA ST NW,504,Marietta Street Artery,E,33.77522,-84.40691
145,LARCENY-FROM VEHICLE,103030182,10/30/2010,MARIETTA ST NW / BANKHEAD AVE NW,504,Marietta Street Artery,E,33.77363,-84.40468
146,BURGLARY-RESIDENCE,103030223,10/30/2010,356 PINE TREE DR NE,206,Garden Hills,B,33.83028,-84.37595
147,AUTO THEFT,103030293,10/30/2010,247 TAFT ST SW,307,Joyland,Y,33.71062,-84.39709
148,AGG ASSAULT,103030304,10/30/2010,1086 PIEDMONT,503,Midtown,E,33.78451,-84.37889
149,LARCENY-FROM VEHICLE,103030336,10/30/2010,1870 CAMPBELLTON RD SW,408,,R,33.70661,-84.44808
150,AGG ASSAULT,103030360,10/30/2010,UNIVERSITY AVE SW / I-75-85 SB EXPY SW,302,Pittsburgh,V,33.72201,-84.39509
151,ROBBERY-RESIDENCE,103030387,10/30/2010,1829 CAMPBELLTON RD SW,408,Venetian Hills,S,33.71,-84.44863
152,BURGLARY-RESIDENCE,103030473,10/30/2010,978 PARSONS ST SW,104,Ashview Heights,T,33.75092,-84.4196
153,BURGLARY-RESIDENCE,103030486,10/30/2010,3540 N CAMP CREEK PKWY SW,414,,P,33.67051,-84.50299
154,BURGLARY-RESIDENCE,103030490,10/30/2010,1040 HUFF RD,203,Blandtown,D,33.78949,-84.42125
155,LARCENY-FROM VEHICLE,103030589,10/30/2010,700 MARIETTA ST NW,504,Marietta Street Artery,E,33.77197,-84.40168
156,LARCENY-FROM VEHICLE,103030594,10/30/2010,1660 PEACHTREE ST NW,502,Midtown,E,33.79874,-84.39164
157,AUTO THEFT,103030616,10/30/2010,3815 MARTIN L KING JR DR NW,114,Old Gordon,H,33.76918,-84.51471
158,LARCENY-FROM VEHICLE,103030631,10/30/2010,829 HOLLYWOOD RD NW,110,Grove Park,J,33.77772,-84.45133
159,AUTO THEFT,103030698,10/30/2010,429 CALHOUN ST NW,501,Home Park,E,33.78295,-84.401
160,LARCENY-NON VEHICLE,103030700,10/30/2010,105 COLLIER RD NW,207,,E,33.80821,-84.39686
161,BURGLARY-RESIDENCE,103030733,10/30/2010,373 ADELLE ST SE,307,Lakewood Heights,Y,33.70043,-84.37645
162,BURGLARY-RESIDENCE,103030737,10/30/2010,2426 WOODWARD WAY,205,Peachtree Battle Alliance,C,33.82048,-84.39664
163,AGG ASSAULT,103030772,10/30/2010,1220 GUN CLUB RD NW,110,Almond Park,G,33.78752,-84.45789
164,LARCENY-FROM VEHICLE,103030778,10/30/2010,1217 GRACEWOOD AVE SE,612,East Atlanta,W,33.73272,-84.34776
165,AUTO THEFT,103030783,10/30/2010,3334 PEACHTREE RD NE,208,North Buckhead,B,33.84624,-84.36844
166,LARCENY-NON VEHICLE,103030821,10/30/2010,1621 CAMPBELLTON RD SW,408,Venetian Hills,S,33.71233,-84.44122
167,ROBBERY-PEDESTRIAN,103030842,10/30/2010,605 BOULEVARD NE,603,Old Fourth Ward,M,33.77097,-84.3714
168,AUTO THEFT,103030847,10/30/2010,1591 JONESBORO RD SE,305,South Atlanta,Y,33.70911,-84.38139
169,AUTO THEFT,103030855,10/30/2010,1150 ASTOR AVE SW,306,Sylvan Hills,X,33.70137,-84.42678
170,LARCENY-FROM VEHICLE,103030860,10/30/2010,180 JACKSON ST NE,604,Sweet Auburn,M,33.75905,-84.37546
171,LARCENY-FROM VEHICLE,103030916,10/30/2010,HARRIS ST NE / COURTLAND ST NE,509,Downtown,M,33.76094,-84.38418
172,AUTO THEFT,103030917,10/30/2010,41 25TH ST NW,207,Brookwood,E,33.80108,-84.39488
173,BURGLARY-RESIDENCE,103030920,10/30/2010,1155 JOSEPH E BOONE BLVD NW,106,Bankhead,K,33.7636,-84.42558
174,LARCENY-FROM VEHICLE,103030941,10/30/2010,370 NORTHSIDE DR NW,103,English Avenue,L,33.76507,-84.4042
175,LARCENY-FROM VEHICLE,103030943,10/30/2010,901 BOLTON RD NW,114,Bankhead/Bolton,H,33.77948,-84.49901
176,LARCENY-NON VEHICLE,103031037,10/30/2010,4302 CREEK VALLEY CT SW,413,Elmco Estates,P,33.69197,-84.53091
177,LARCENY-FROM VEHICLE,103031052,10/30/2010,376 ROY ST SW,302,Pittsburgh,V,33.72404,-84.40041
178,LARCENY-FROM VEHICLE,103031064,10/30/2010,100 LUCKIE ST NW,508,Downtown,M,33.7573,-84.38992
179,LARCENY-NON VEHICLE,103031082,10/30/2010,264 19TH ST NW,501,Atlantic Station,E,33.79321,-84.39692
180,LARCENY-FROM VEHICLE,103022782,10/30/2010,1338  PEACHTREE  ST,502,Midtown,E,33.79112,-84.38534
181,LARCENY-FROM VEHICLE,103022797,10/30/2010,107 E WESLEY RD NE,206,Peachtree Heights East,B,33.82832,-84.38396
182,ROBBERY-PEDESTRIAN,103022830,10/29/2010,PERRY BLVD NW / MCCALLIE BLVD NW,110,West Highlands,G,33.79949,-84.45474
183,LARCENY-NON VEHICLE,103028019,10/29/2010,5952 SPINE ROAD,50,,,33.64068,-84.44204
184,LARCENY-FROM VEHICLE,103028025,10/29/2010,N DECK @6023 N TERMINAL BYWY ; DAILY/LEVEL1/ROW 21C,50,,,33.64217,-84.447
185,LARCENY-NON VEHICLE,103028048,10/29/2010,7700 SPINE ROAD,50,,,33.64068,-84.44204
186,AUTO THEFT,103028075,10/29/2010,2200 RENTAL CAR CENTER PKWY,707,,,33.63977,-84.46358
187,BURGLARY-RESIDENCE,103012699,10/29/2010,711 WILSON RD NW,205,Springlake,C,33.81553,-84.41234
188,LARCENY-NON VEHICLE,103010888,10/29/2010,3099 PANTER TRL,409,Southwest,R,33.69931,-84.48914
189,LARCENY-NON VEHICLE,103020030,10/29/2010,1616 PIEDMONT AVE NE,213,Piedmont Heights,F,33.79884,-84.36815
190,AGG ASSAULT,103020069,10/29/2010,JOSEPH E LOWERY BLVD NW / DONALD LEE HOLLOWELL PKWY NW,103,Bankhead,K,33.77303,-84.41737
191,LARCENY-FROM VEHICLE,103020131,10/29/2010,3599 MARTIN L KING JR DR NW,111,Adamsville,H,33.75933,-84.50433
192,ROBBERY-PEDESTRIAN,103020311,10/29/2010,1990 ALISON CT SW,410,Campbellton Road,R,33.70066,-84.45363
193,AUTO THEFT,103020373,10/29/2010,972 FERN AVE SE,304,Peoplestown,V,33.72798,-84.38493
194,AUTO THEFT,103020506,10/29/2010,183 MOUNT ZION RD SE,312,Glenrose Heights,Z,33.67268,-84.38507
195,BURGLARY-NONRES,103020517,10/29/2010,2257 BOLLINGBROOK DR SW @BEECHER HILLS ELEM,406,Beecher Hills,I,33.73569,-84.4633
196,AUTO THEFT,103020531,10/29/2010,2637 OLD HAPEVILLE RD SW,310,Browns Mill Park,Z,33.68294,-84.39417
197,AUTO THEFT,103020551,10/29/2010,1720 MARTIN L KING JR DR SW,104,Mozley Park,K,33.75083,-84.44341
198,ROBBERY-PEDESTRIAN,103020568,10/29/2010,1865 CHESHIRE BRIDGE RD,213,Morningside/Lenox Park,F,33.80864,-84.36137
199,LARCENY-FROM VEHICLE,103020638,10/29/2010,370 NORTHSIDE DR NW,103,English Avenue,L,33.76507,-84.4042
200,LARCENY-FROM VEHICLE,103020723,10/29/2010,222 14TH ST NE,502,Midtown,E,33.78657,-84.38041
201,LARCENY-FROM VEHICLE,103020724,10/29/2010,875 COURTENAY DR NE,213,Morningside/Lenox Park,F,33.78972,-84.35843
202,LARCENY-FROM VEHICLE,103020741,10/29/2010,817 W PEACHTREE ST NE,505,Midtown,E,33.77696,-84.38697
203,BURGLARY-RESIDENCE,103020746,10/29/2010,351 FAIRBURN RD NW,111,Adamsville,H,33.76479,-84.50023
204,BURGLARY-RESIDENCE,103020801,10/29/2010,1871 PLAZA LN SW,410,Campbellton Road,R,33.70518,-84.45336
205,LARCENY-FROM VEHICLE,103020832,10/29/2010,705 BROOKLINE ST SW,301,Adair Park,V,33.72736,-84.41074
206,LARCENY-FROM VEHICLE,103020843,10/29/2010,1376 HEIGHTS PARK DR SE,607,Custer/McDonough/Guice,W,33.7161,-84.35086
207,AUTO THEFT,103020845,10/29/2010,483 MONUMENT AVE SE,612,East Atlanta,W,33.74103,-84.34159
208,AUTO THEFT,103020846,10/29/2010,1092 SHELBY PL SE,607,Woodland Hills,W,33.72371,-84.35181
209,LARCENY-NON VEHICLE,103020888,10/29/2010,590 CASCADE AVE SW,402,West End,T,33.73812,-84.43276
210,ROBBERY-PEDESTRIAN,103020913,10/29/2010,2148 PALIFOX DR NE,608,Lake Claire,N,33.76427,-84.31805
211,AUTO THEFT,103020926,10/29/2010,2423 MARTIN L KING JR DR NW ; PEEKS @ MLK,108,Florida Heights,I,33.75183,-84.46623
212,LARCENY-NON VEHICLE,103020941,10/29/2010,1990 PERKERSON RD SW,306,Sylvan Hills,X,33.70047,-84.4169
213,BURGLARY-RESIDENCE,103020945,10/29/2010,1677 CARROLL DR NW,203,Hills Park,D,33.80266,-84.44275
214,BURGLARY-RESIDENCE,103020985,10/29/2010,2007 MOREHOUSE DR NW,108,Dixie Hills,J,33.7613,-84.45299
215,LARCENY-FROM VEHICLE,103021017,10/29/2010,1700 NORTHSIDE DR NW,207,Berkeley Park,D,33.80121,-84.40791
